2024-11-07 00:31:49.900275,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961109.8994167],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.5724767358625598, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961109.8022864],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:32:49.894347,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961169.8934243],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.505368647100928, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961169.780219],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:33:49.823493,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961229.8222256],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.6619541875447355, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961229.6795294],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:34:49.907839,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961289.9069843],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.505368647100928, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961289.806232],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:35:49.819815,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961349.8185372],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.482999284180384, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961349.67484],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:36:49.897427,[35.96, 'f'],[35.70614893233805, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961409.8965313],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.505368647100928, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961409.7917056],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:37:49.816620,[36.14, 'f'],[35.885941927140166, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961469.8104188],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.2816750178954877, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961469.687038],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:38:49.835325,[36.14, 'f'],[35.885941927140166, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961529.829048],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[2.035612025769504, 'mph', 1.0, '1', 'Light Air'],[25.25177400330539, ' inHg', 855.1198270004297],[0.0, 'count', 0.0, 1730961529.7015297],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:39:50.767032,[36.14, 'f'],[35.885941927140166, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961590.7657704],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.371152469577664, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961589.7482274],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:40:49.831443,[36.14, 'f'],[35.885941927140166, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961649.8291383],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.5724767358625598, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961649.695422],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:41:51.678974,[36.32, 'f'],[36.0657348376231, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961711.6781266],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[2.438260558339296, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961710.8193192],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:42:49.786108,[36.32, 'f'],[36.0657348376231, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961769.7847838],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.796170365068, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961768.8631206],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:43:49.806198,[36.5, 'f'],[36.24552766378689, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961829.8058078],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.952755905511808, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961829.695374],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:44:51.679517,[36.68, 'f'],[36.42532040563161, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961891.678689],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.8409090909090877, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961890.8193593],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:45:48.913433,[36.68, 'f'],[36.42532040563161, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730961948.9125676],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[3.1317108088761594, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730961948.8046582],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:46:50.687116,[36.86, 'f'],[36.60511306315732, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962010.686194],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.5724767358625598, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962009.7444675],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:47:51.678766,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962071.674529],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.5501073729420156, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962070.8193712],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:48:50.675388,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962129.8762522],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.7738010021474557, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962129.74316],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:49:48.908064,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962188.9071486],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.6843235504652796, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962188.7992449],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:50:48.916590,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962248.915741],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[2.482999284180384, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962248.8173697],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:51:48.919094,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962308.9182954],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[2.304044380816032, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962308.8332214],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:52:49.679395,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962369.6785405],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.6619541875447355, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962368.8172662],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:53:49.785345,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962429.7788463],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[3.01986399427344, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962428.8620338],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-07 00:54:48.890814,[37.04, 'f'],[36.784905636364066, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730962488.8898787],['WSW', '', 'WSW', 'West [color=9aba2fff]SW[/color]'],[2.5724767358625598, 'mph', 1.0, '1', 'Light Air'],[25.254849988478533, ' inHg', 855.2239914012663],[0.0, 'count', 0.0, 1730962488.7772126],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
