2024-11-02 00:31:47.752317,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525507.7459369],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.867394416607007, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525506.8815012],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:32:48.933931,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525568.932782],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.231925554760192, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525568.774948],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:33:45.979462,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525625.9732778],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.2700429491767995, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525625.844427],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:34:45.948986,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525685.948276],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.493736578382239, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525685.8727307],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:35:46.742944,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525746.7416503],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.4713672154616955, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525745.8267784],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:36:47.744431,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525807.7382464],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.254294917680735, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525806.8794498],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:37:48.723598,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525868.722303],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.225304223335711, 'mph', 2.0, '2', 'Light Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525867.8965943],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:38:46.724585,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525926.7233164],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.61220472440944, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525925.878178],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:39:48.767960,[38.66, 'f'],[33.33385512676606, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730525988.7616022],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[8.052970651395839, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730525987.8736062],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-02 00:40:47.939685,[38.480000000000004, 'f'],[33.15814559855707, 'f'],[81.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730526047.9389167],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.672691481746591, 'mph', 3.0, '3', 'Gentle Breeze'],[25.257925970729424, ' inHg', 855.3281557031444],[0.0, 'count', 0.0, 1730526047.842103],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
