2024-11-04 00:23:56.996411,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701436.990298],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[9.462240515390112, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701436.8595986],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:24:57.054048,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701497.0479648],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.526843235504638, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701496.915075],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:25:57.009543,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701557.008669],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.728167501789535, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701556.880631],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:26:57.008697,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701617.0026162],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.75053686471008, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701616.8681567],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:27:57.052207,[52.879999999999995, 'f'],[52.60632189250241, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701677.0461082],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.571581961345727, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701676.9182506],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:28:57.852332,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701737.8511324],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[12.325518969219743, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701737.697219],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:29:56.773694,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701796.767516],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[10.938618468146014, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701795.7661743],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:30:57.036659,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701857.0355153],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[11.58732999284179, 'mph', 3.0, '3', 'Gentle Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701856.8718638],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:31:57.112218,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701917.1113727],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[13.242662848962047, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701916.984023],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-04 00:32:57.005540,[53.06, 'f'],[52.786106961559796, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730701976.999418],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[14.025590551181086, 'mph', 4.0, '4', 'Moderate Breeze'],[25.288685632610285, ' inHg', 856.3697932824571],[0.0, 'count', 0.0, 1730701976.876918],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
