2024-10-25 21:53:41.679513,[46.22, 'f'],[35.10165846197169, 'f'],[65.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911221.6750112],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.7671796707229759, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911220.7897708],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:54:43.753340,[46.22, 'f'],[35.486342210419124, 'f'],[66.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911283.7469122],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.8566571224051518, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911282.8668246],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:57:41.767331,[46.04, 'f'],[35.31479370190252, 'f'],[66.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911461.7660341],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.7224409448818878, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911460.7763681],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:58:41.740353,[46.04, 'f'],[35.31479370190252, 'f'],[66.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911521.7390635],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.8342877594846076, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911520.8399227],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 21:59:44.699764,[46.04, 'f'],[35.31479370190252, 'f'],[66.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911584.6984963],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.6553328561202558, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911583.8718207],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 22:00:43.005755,[46.04, 'f'],[35.31479370190252, 'f'],[66.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911643.0044487],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[2.102720114531136, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911642.8239129],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 22:01:40.805574,[45.86, 'f'],[35.143241944304314, 'f'],[66.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911700.804398],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.7224409448818878, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911700.6757157],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 22:02:41.675149,[45.86, 'f'],[35.52220733780478, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911761.6743379],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[1.3421617752326398, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911760.8375206],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 22:03:41.676032,[45.86, 'f'],[35.52220733780478, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911821.6753032],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[1.3869005010737279, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911820.8523817],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 22:04:40.989781,[45.68, 'f'],[35.72405450676212, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911880.9835947],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[0.7829277022190398, 'mph', 0.0, '0', 'Calm Conditions'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911880.842996],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-25 22:05:43.837623,[45.68, 'f'],[35.72405450676212, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729911943.836452],['W', '', 'W', 'Due [color=9aba2fff]West[/color]'],[1.1408375089477438, 'mph', 1.0, '1', 'Light Air'],[25.273305838165534, ' inHg', 855.8489757286814],[0.0, 'count', 0.0, 1729911943.7066238],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
