2024-11-10 16:34:23.829966,[47.66, 'f'],[46.298168145534554, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278063.8288164],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.4448818897637756, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278063.6744857],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:35:23.903398,[47.480000000000004, 'f'],[46.11924824133625, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278123.902556],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.6685755189692153, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278123.7912455],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:36:23.888074,[47.480000000000004, 'f'],[46.11924824133625, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278183.8866222],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.250178954903359, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278183.7460296],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:37:23.826967,[47.480000000000004, 'f'],[46.11924824133625, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278243.8257034],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.6014674302075838, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278243.6777904],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:38:26.675426,[47.3, 'f'],[45.94032790993306, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278306.6747859],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.205440229062272, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278305.7299469],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:39:23.833154,[47.3, 'f'],[45.94032790993306, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278363.8317513],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.585719398711519, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278363.685961],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:40:23.908597,[47.3, 'f'],[45.94032790993306, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278423.9077506],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[3.6909448818897594, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278423.7905927],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:41:23.917165,[47.3, 'f'],[45.94032790993306, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278483.916293],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.429133858267711, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278483.8101537],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:42:23.888747,[47.120000000000005, 'f'],[45.761407151323446, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278543.8877015],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.384395132426624, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278543.7482836],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-10 16:43:23.710013,[47.120000000000005, 'f'],[45.761407151323446, 'f'],[95.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0929763100497, ' in', 2.361597, 1731278603.7092185],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[4.362025769506079, 'mph', 2.0, '2', 'Light Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1731278602.8809154],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
