2024-10-28 00:24:50.785770,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093090.7687564],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.571581961345727, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093089.819925],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:25:50.671524,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093149.8900647],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.466356478167485, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093149.7641268],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:26:49.868205,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093209.8672893],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[14.137437365783807, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093209.7667556],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:27:49.847149,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093269.8464174],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.466356478167485, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093269.6904309],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:28:50.729527,[47.120000000000005, 'f'],[30.38964875717605, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093330.7229853],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.616320687186814, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093329.792572],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:29:49.713266,[47.120000000000005, 'f'],[30.85947756524629, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093389.7123775],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.437365783822463, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093388.8564553],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:30:49.877393,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093449.87653],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.661059413027903, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093449.7784708],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:31:49.822367,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093509.821077],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.549212598425184, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093509.6755607],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:32:49.686183,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093569.6853392],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.236041517537567, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093568.7185905],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:33:49.772380,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093629.7711163],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.936113099498911, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093628.8618245],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:34:48.046913,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093688.0458953],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[12.168933428775937, 'mph', 3.0, '3', 'Gentle Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093687.9328415],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:35:49.767508,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093749.7610264],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[13.376879026485312, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093748.871952],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:36:48.046780,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093808.0457568],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[14.137437365783807, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093807.934109],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:37:48.063054,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093868.0615637],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.188797423049374, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093867.9415903],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:38:50.724250,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093930.722956],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.412491052254815, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093928.8391058],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:39:48.045886,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730093988.0443947],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[16.262526843235484, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730093987.9244678],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:40:48.927081,[46.94, 'f'],[30.222707969447285, 'f'],[52.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094048.926071],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[15.971725125268414, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094048.8052588],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-28 00:41:48.809560,[46.94, 'f'],[30.692176751295456, 'f'],[53.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730094108.8071892],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[14.741410164638495, 'mph', 4.0, '4', 'Moderate Breeze'],[25.276381802892075, ' inHg', 855.9531394371193],[0.0, 'count', 0.0, 1730094108.6749945],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
