2024-10-30 00:35:00.742129,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266500.735922],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.081066571224028, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266499.7485867],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:35:59.048979,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266559.0476239],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.06531853972797, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730266558.9288213],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:36:59.052692,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266619.0513566],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.774516821760894, 'mph', 5.0, '5', 'Fresh Breeze'],[25.334824578532068, ' inHg', 857.9322311313564],[0.0, 'count', 0.0, 1730266618.9338562],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:37:59.040937,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266679.039981],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[23.375984251968475, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266678.9285274],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:39:00.858709,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266740.8571916],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.573192555476, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266740.7171292],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:39:59.060335,[73.22, 'f'],[61.606976744464106, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266799.059003],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.579813886900478, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266798.9353328],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:40:59.053855,[73.22, 'f'],[62.026537984586824, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266859.0476313],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[18.56657122405152, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266858.9248927],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:41:59.059020,[73.03999999999999, 'f'],[61.85485608940621, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266919.0579934],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.06531853972797, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266918.934267],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:42:59.052110,[73.03999999999999, 'f'],[61.85485608940621, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730266979.050757],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[22.61542591266998, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730266978.932208],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:43:59.041253,[73.03999999999999, 'f'],[61.435602809792684, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730267039.0403135],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[23.10755189692195, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730267038.911061],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:44:59.075695,[73.03999999999999, 'f'],[61.435602809792684, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730267099.0747817],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[22.682534001431616, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730267098.9496658],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:45:58.786464,[73.03999999999999, 'f'],[61.435602809792684, 'f'],[67.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730267158.7851703],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[22.861488904795966, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730267157.8811693],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:47:01.721170,[73.03999999999999, 'f'],[61.85485608940621, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730267221.719861],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[22.23514674302073, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730267220.7657566],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:47:59.073762,[73.03999999999999, 'f'],[61.85485608940621, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730267279.072239],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[19.215282748747295, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730267278.9417968],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-30 00:48:57.973050,[73.03999999999999, 'f'],[61.85485608940621, 'f'],[68.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730267337.9725664],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[20.356120257695036, 'mph', 5.0, '5', 'Fresh Breeze'],[25.331748669197577, ' inHg', 857.8280692987012],[0.0, 'count', 0.0, 1730267337.8092744],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
