2024-11-09 17:58:44.031186,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731196724.0300446],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.659448818897631, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731196723.869984],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 17:59:44.054027,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731196784.0531037],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[6.129205440229056, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731196783.9327145],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:00:44.078981,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731196844.0780463],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[6.308160343593407, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731196843.9539576],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:01:44.067138,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731196904.0661876],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[4.115962777380096, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731196903.942605],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:02:44.851068,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731196964.8448303],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[3.4448818897637756, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731196964.7130616],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:03:44.125198,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731197024.1228964],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[2.9751252684323517, 'mph', 1.0, '1', 'Light Air'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197023.9696646],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:04:43.776836,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731197083.7754996],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[2.9080171796707197, 'mph', 1.0, '1', 'Light Air'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197082.9631767],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:05:44.748267,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731197144.747418],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.234430923407295, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197143.8886943],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:06:44.078638,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0038144115086, ' in', 0.096886, 1731197204.0724],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.0778453829634875, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197203.9440517],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:07:44.727346,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.002355119382, ' in/hr', 'Very Light Rain', 0.059820000000000005],[0.0038536634982999996, ' in', 0.097883, 1731197264.7261872],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[5.25680028632784, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197263.8789175],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:08:45.670169,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.01692520599, ' in/hr', 'Light Rain', 0.4299],[0.0041357502648, ' in', 0.105048, 1731197324.903931],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[4.4738725841088, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197324.7868698],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:09:44.860299,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.006101578097999999, ' in/hr', 'Very Light Rain', 0.15497999999999998],[0.0042374432331, ' in', 0.107631, 1731197384.8593647],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[6.487115246957759, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197384.727826],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:10:43.883052,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197443.8820405],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[6.912133142448095, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197443.7594142],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:11:44.879314,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197504.8781466],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[4.719935576234783, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197504.734539],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:12:45.686230,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197565.6857276],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[3.6909448818897594, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197564.8054233],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:13:44.825358,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197624.8240547],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[4.518611309949888, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197624.6779845],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:14:44.670911,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197683.8592732],['SSE', '', 'SSE', 'South [color=9aba2fff]SE[/color]'],[3.9146385110951996, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197683.7204711],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-09 18:15:44.680595,[49.1, 'f'],[45.09365234586705, 'f'],[86.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0042374432331, ' in', 0.107631, 1731197744.6796784],['S', '', 'S', 'Due [color=9aba2fff]South[/color]'],[3.556728704366496, 'mph', 2.0, '2', 'Light Breeze'],[25.279457764699394, ' inHg', 856.0573030467013],[0.0, 'count', 0.0, 1731197743.7905412],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
