2024-10-27 00:29:13.074636,[43.7, 'f'],[30.305400574914383, 'f'],[59.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730006953.0737014],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[5.994989262705792, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730006952.9550836],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:30:15.699321,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007015.6988275],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[4.876521116678592, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007013.8463802],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:31:15.739523,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007075.7389803],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.37526843235504, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007075.6783113],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:32:13.696626,[43.7, 'f'],[30.7197397633577, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007133.6899595],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[6.285790980672863, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007132.9021702],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:33:14.696528,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007194.6951194],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[5.525232641374368, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007193.8418634],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:34:13.828312,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007253.8267446],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[6.241052254831776, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730007253.6853833],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:35:13.690519,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007313.6892214],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.337151037938431, 'mph', 2.0, '2', 'Light Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730007312.9749465],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:36:14.689959,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007374.6886864],['SSW', '', 'SSW', 'South [color=9aba2fff]SW[/color]'],[7.650322118826047, 'mph', 3.0, '3', 'Gentle Breeze'],[25.26715389995307, ' inHg', 855.6406480151801],[0.0, 'count', 0.0, 1730007373.8030417],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:37:13.074232,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007433.0721736],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.851646385110943, 'mph', 3.0, '3', 'Gentle Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007432.9485703],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-27 00:38:13.891555,[43.52, 'f'],[30.54999082889364, 'f'],[60.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1730007493.8907223],['SW', '', 'SW', 'South [color=9aba2fff]West[/color]'],[7.292412312097343, 'mph', 2.0, '2', 'Light Breeze'],[25.27022987051934, ' inHg', 855.7448119213732],[0.0, 'count', 0.0, 1730007493.7884362],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
